YEAR,RESP_BAT_ID,BAT_FLD_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1977,cardj101,11,37,32,10,11,1,0,0,0,4,4,0,5,1,0,1,0,0
1977,carer001,3,683,606,235,347,38,16,14,1,95,68,15,54,6,3,1,5,0
1977,carer001,4,4,4,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0
1977,carer001,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,carer001,11,6,5,3,3,0,0,0,0,3,1,0,1,0,0,0,0,0
1977,carls001,1,112,97,26,39,4,0,3,0,15,2,0,20,0,1,7,3,2
1977,carrc103,1,14,11,1,1,0,0,0,0,0,0,0,2,1,0,3,0,0
1977,cartg001,2,586,515,145,270,28,2,31,0,83,56,5,103,9,5,3,7,0
1977,cartg001,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,cartg001,11,8,6,3,4,1,0,0,0,1,2,0,0,0,0,0,0,0
