YEAR,PHASE,RESP_PIT_ID,RESP_PIT_HAND_CD,RESP_BAT_HAND_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1989,R,craws001,R,L,119,104,27,38,3,1,2,0,14,12,3,11,0,0,2,1,0
1989,R,craws001,R,R,105,94,21,24,3,0,0,0,11,7,0,22,4,3,1,0,0
1989,R,crewt001,R,L,129,110,27,43,4,3,2,0,17,16,6,24,1,0,3,0,0
1989,R,crewt001,R,R,146,133,42,69,10,1,5,1,23,7,3,32,0,2,4,0,0
1989,R,crimc001,R,L,187,166,45,61,5,1,3,0,16,18,5,21,7,1,1,1,0
1989,R,crimc001,R,R,300,274,69,95,6,4,4,0,41,18,4,38,13,1,2,5,0
1989,R,cumms001,R,L,43,39,10,13,3,0,0,0,3,4,0,4,2,0,0,0,0
1989,R,cumms001,R,R,47,39,8,13,2,0,1,0,4,7,0,4,3,1,0,0,0
1989,R,darlr001,R,L,534,481,136,196,25,4,9,0,49,41,3,79,4,2,4,6,0
1989,R,darlr001,R,R,388,348,78,123,15,0,10,0,39,29,4,74,6,1,3,7,0
1989,R,darwd001,R,L,262,240,59,79,5,3,3,1,26,17,4,45,2,0,4,1,0
1989,R,darwd001,R,R,220,194,33,52,4,0,5,0,22,16,5,59,2,2,4,4,0
1989,R,davib002,R,L,3,3,1,4,0,0,1,0,2,0,0,0,0,0,0,0,0
1989,R,davib002,R,R,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1989,R,davij003,R,L,8,7,1,1,0,0,0,0,1,1,0,3,0,0,0,0,0
1989,R,davij003,R,R,17,16,4,10,0,0,2,0,3,1,0,2,0,0,0,0,0
1989,R,davim001,L,L,54,46,11,21,2,1,2,0,9,4,0,11,2,2,1,1,0
1989,R,davim001,L,R,316,284,55,76,7,1,4,0,25,27,1,81,9,0,2,3,0
1989,R,davis001,R,L,368,314,83,130,13,2,10,0,35,45,1,48,10,1,2,5,1
1989,R,davis001,R,R,365,335,104,152,17,2,9,0,44,23,0,43,14,2,3,2,0
1989,R,davis002,L,L,32,27,8,12,1,0,1,0,4,5,0,2,2,0,0,0,0
1989,R,davis002,L,R,89,80,26,35,4,1,1,0,9,9,1,10,2,0,0,0,0
1989,R,dawlb001,R,L,20,19,5,8,1,1,0,0,5,1,0,0,1,0,0,0,0
1989,R,dawlb001,R,R,21,18,6,6,0,0,0,0,1,1,0,3,0,1,0,1,0
1989,R,daylk001,L,L,110,101,19,29,7,0,1,0,8,8,1,15,2,0,1,0,0
1989,R,daylk001,L,R,200,175,44,63,7,3,2,0,16,22,9,25,3,0,2,1,0
1989,R,dejej001,R,L,9,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
